name,genres
Mano,"['deep indian pop', 'filmi', 'tamil pop']"
The Legends,"['swedish indie pop', 'twee pop']"
Kyu Sakamoto,['enka']
Joey Albert,"['classic opm', 'manila sound', 'opm']"
Lounge Music Café,[]
Yumi,[]
The Four Lads,"['adult standards', 'deep adult standards', 'vocal harmony group']"
Ruggero Leoncavallo,"['classical', 'italian opera', 'italian romanticism']"
Tracy Huang,"['c-pop', 'classic cantopop', 'classic mandopop', 'vintage chinese pop']"
Giuseppe Torelli,"['baroque', 'early music', 'italian baroque']"
Jessa Zaragoza,"['classic opm', 'opm']"
The Jezabels,['australian indie']
Dick Haymes,"['adult standards', 'big band', 'deep adult standards', 'easy listening', 'lounge', 'swing']"
Linton Kwesi Johnson,"['dub', 'dub poetry', 'reggae', 'roots reggae', 'ska']"
Lawrence Welk,"['easy listening', 'polka']"
Blake Lewis,['idol']
Munich Chamber Orchestra,"['chamber orchestra', 'string orchestra']"
Raindrops Sleep,"['environmental', 'sleep']"
Dawn,[]
White Rabbits,['double drumming']
Remo Giazotto,[]
Lasse Lindh,['swedish indie pop']
Rolando Panerai,"['classical baritone', 'italian baritone', 'opera']"
Benny Golson,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz', 'stride']"
Lucerne Festival Strings,"['chamber orchestra', 'string orchestra']"
Glyndebourne Festival Orchestra,[]
Koko,[]
Barney Kessel,"['bebop', 'cool jazz', 'hard bop', 'jazz', 'jazz guitar', 'soul jazz']"
Bobby Lyle,['smooth jazz']
Xavier Cugat,"['cha-cha-cha', 'cuban rumba', 'easy listening', 'exotica', 'latin jazz', 'lounge', 'mambo']"
RIAS-Symphonie-Orchester,['german orchestra']
Dave Gahan,"['alternative dance', 'new romantic', 'new wave']"
Pearl Bailey,['movie tunes']
KayThePianist,"['japanese instrumental', 'piano cover']"
Vincent Peirani,['french jazz']
Kate Smith,['torch song']
Dietrich Buxtehude,"['baroque', 'classical', 'early music']"
Sounds of Thunder and Rain,['water']
Bob Luman,"['rock-and-roll', 'rockabilly', 'swamp pop']"
Blue Mitchell,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz trumpet', 'soul jazz']"
巫啟賢,"['c-pop', 'classic mandopop', 'malaysian mandopop', 'mandopop', 'singaporean mandopop']"
Unknown,[]
Carl Smith,['honky tonk']
Shirley Temple,['vintage hollywood']
Renz Verano,['classic opm']
Maurice André,"['brass ensemble', 'classical trumpet']"
Lucio Quarantotto,[]
Slapshock,"['opm', 'pinoy metal', 'pinoy rock']"
Nyno Vargas,"['flamenco urbano', 'pop flamenco', 'rumba', 'spanish hip hop', 'spanish pop']"
Ethel Merman,[]
Johnny Preston,"['brill building pop', 'deep adult standards', 'rhythm and blues', 'rock-and-roll', 'rockabilly']"
Manuel Barrueco,"['classical guitar', 'guitarra clasica']"
Massiel,"['cancion melodica', 'pop romantico', 'ye ye']"
Caterina Valente,"['classic schlager', 'vintage schlager']"
Musica Para Estudiar Academy,['musica de fondo']
Frank Peter Zimmermann,['violin']
Nathan Barr,['soundtrack']
Rudolf Baumgartner,[]
Otto Klemperer,"['classical performance', 'historic orchestral performance', 'orchestral performance']"
Orchestre De La Société Des Concerts Du Conservatoire,['french orchestra']
Boris Alexandrov,[]
Karol Szymanowski,"['early modern classical', 'impressionism', 'polish classical']"
Zoltán Kodály,"['classical', 'early modern classical', 'neoclassicism']"
Paul Robeson,"['classical bass', 'harlem renaissance', 'spirituals', 'traditional folk']"
Angham,"['arab pop', 'classic arab pop', 'egyptian pop']"
Mick Harvey,['australian singer-songwriter']
Yoojin,[]
The Chakachas,[]
Piero de Palma,"['classical tenor', 'italian tenor', 'opera']"
Les Compagnons De La Chanson,[]
Bob Dorough,[]
Pilar Lorengar,"['classical soprano', 'spanish classical']"
Hermann Prey,['classical baritone']
Blind Lemon Jefferson,"['acoustic blues', 'appalachian folk', 'blues', 'country blues', 'delta blues', 'gospel blues', 'jug band', 'texas blues', 'traditional blues']"
Bobby Short,['cabaret']
Angel Romero,"['classical guitar', 'guitarra clasica']"
Billy Strayhorn,['jazz piano']
Hans Stadlmair,[]
Ferde Grofé,"['american modern classical', 'early modern classical']"
Marilyn Horne,"['classical mezzo-soprano', 'opera']"
The Void Pacific Choir,[]
Fletcher Henderson,"['big band', 'dixieland', 'harlem renaissance', 'jazz piano', 'ragtime', 'stride', 'swing', 'tin pan alley', 'vintage jazz']"
Orchestra del Teatro San Carlo di Napoli,[]
Abigail Williams,"['deathcore', 'melodic metalcore', 'symphonic black metal', 'technical death metal', 'usbm']"
Lev Oborin,['historic piano performance']
Victor Herbert,"['american romanticism', 'irish classical', 'operetta', 'post-romantic era']"
Roy Hamilton,['rhythm and blues']
Karl Ristenpart,[]
Noriyuki Makihara,"['j-pop', 'j-rock', 'japanese city pop', 'japanese singer-songwriter']"
Nicole Croisille,"['chanson', 'french pop', 'ye ye']"
Pandora,['bubblegum dance']
André Cluytens,['orchestral performance']
Ibiza Lounge Club,[]
Eva Eugenio,"['classic opm', 'manila sound']"
Alfred Schnittke,"['avant-garde', 'classical', 'contemporary classical', 'russian contemporary classical', 'russian modern classical']"
Orchestre de chambre Jean-François Paillard,['french orchestra']
Sandy Nelson,"['merseybeat', 'rock-and-roll', 'space age pop', 'surf music']"
Bunny Berigan,"['big band', 'jazz trumpet', 'stride', 'swing', 'vintage jazz']"
Arpad Gérecz,[]
Earl Grant,['space age pop']
Franz von Suppé,"['classical', 'late romantic era', 'operetta']"
Lucienne Delyle,['vintage chanson']
Bob Newhart,"['clean comedy', 'comedy']"
Václav Neumann,[]
Richard Anthony,"['chanson', 'ye ye']"
theAngelcy,"['israeli indie', 'israeli rock']"
Bud Shank,"['cool jazz', 'jazz saxophone']"
Wolfgang Meyer,['classical clarinet']
Karel Gott,"['czech pop', 'czech rock', 'slovak pop']"
Raphaël,"['chanson', 'french indie pop', 'french pop', 'french rock', 'nouvelle chanson francaise']"
Christian Zacharias,"['classical piano', 'german classical piano']"
Hans-Martin Linde,"['classical flute', 'recorder']"
Bob Hope,['vintage hollywood']
Bolshoi Theatre Orchestra,"['orchestra', 'russian orchestra']"
Bill Black's Combo,[]
Vina Morales,"['classic opm', 'opm']"
Martial Solal,"['cool jazz', 'french jazz']"
Ilegales,[]
Ruslana,"['eurovision', 'russian pop', 'ukrainian pop', 'ukrainian rock']"
Youn Sun Nah,"['korean jazz', 'vocal jazz']"
Andy Caldwell,[]
