name,genres
Timmy,[]
Marisol,['cancion melodica']
Booker T. Jones,[]
Pro Cantione Antiqua,"['british choir', 'choral', 'early music choir']"
Miguel Calo,"['orquesta tipica', 'tango', 'vintage tango']"
Los Gorriones Del Topo Chico,['mexican son']
The Village Stompers,[]
The Angelic Choir,['papuri']
Esma Redzepova,"['balkan brass', 'macedonian folk', 'sevdah']"
Lee Herschberg,[]
McCoy Tyner Trio,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz trio', 'soul jazz', 'stride']"
Empire Brass,"['brass band', 'brass ensemble', 'brass quintet']"
Hungarian National Philharmonic,"['hungarian classical performance', 'orchestra']"
Peter,[]
Santiago De Murcia,"['baroque', 'spanish baroque']"
Franz Xaver Richter,"['bohemian baroque', 'classical era', 'galante era']"
Douglas Ford,[]
The Smothers Brothers,['comic']
Judy Clay,"['memphis soul', 'southern soul']"
David Munrow,"['early music', 'recorder']"
Ritchie,"['pop nacional antigas', 'rock nacional brasileiro']"
Srivardhini,['deep indian pop']
Lonnie Brooks,"['blues', 'chicago blues', 'electric blues', 'louisiana blues', 'modern blues']"
Syndicate Of Sound,"['classic garage rock', 'deep classic garage rock', 'freakbeat']"
Prague Radio Symphony Orchestra,['radio symphony']
Los Calchakis,"['andean flute', 'charango', 'musica andina', 'nueva cancion']"
Eduard Khil,['classic russian pop']
Link Wray & His Ray Men,['surf music']
Francesco De Masi,['vintage italian soundtrack']
Bhavani Shankar,"['hindustani classical', 'hindustani instrumental', 'indian classical']"
The Shells,['doo-wop']
Ace Cannon,[]
Joseph Kobzon,"['classic russian pop', 'russian folk']"
Giovanni Foiani,['classical bass']
Jewel Akens,[]
Hollyridge Strings,"['easy listening', 'exotica', 'lounge']"
Speech,['conscious hip hop']
Theo Sarapo,[]
D. Rivers,[]
Chico,[]
Roy Drusky,"['classic country pop', 'nashville sound']"
Horacio Guarany,"['folklore argentino', 'nueva cancion']"
Sivuca,"['bossa nova', 'forro', 'forro tradicional', 'jazz accordion', 'samba', 'samba-jazz', 'velha guarda']"
Jonathan Tunick,[]
Stan Freberg,"['comic', 'parody']"
Justin Hinds,"['early reggae', 'reggae', 'rock steady', 'ska']"
Tino Contreras,"['jazz mexicano', 'lounge']"
Members Of The New York Philharmonic,[]
Robert Wells,['classic swedish pop']
Consuelo Velázquez,[]
Reid Nibley,[]
Dick & Dee Dee,[]
The Baba Brooks Band,[]
The Spotnicks,"['merseybeat', 'rock-and-roll', 'surf music', 'swedish rock-and-roll']"
The Knights,['chamber orchestra']
Fried Walter,[]
Franz Bauer-Theussl,[]
Sabine Baring-Gould,[]
Ralph Blane,[]
Neşe Karaböcek,"['arabesk', 'classic turkish pop', 'turkish folk', 'turkish pop', 'turkish psych']"
Jerry White,[]
Berto,[]
Paul,[]
Solo,[]
Frank Patterson,"['irish country', 'irish folk']"
Buddy Rich And His Sextet,[]
Ike,[]
Rodion Shchedrin,['russian contemporary classical']
Arthur Alexander,['southern soul']
Henry VIII,['english renaissance']
Frank Proffitt,"['appalachian folk', 'banjo', 'old-time', 'string band']"
João Donato E Seu Trio,['bossa nova']
Maria Teresa Vera,"['bolero cubano', 'musica tradicional cubana', 'trova']"
French,['language']
Kenny Kirkland,['jazz piano']
The Maile Serenaders,['slack-key guitar']
Richard Hayman Orchestra,[]
Kenneth J. Alford,[]
Czech Chamber Orchestra,['classical']
Joey Dee,['australian talent show']
Vince Taylor & His Playboys,[]
Eddie Holland,['motown']
Nora Orlandi,"['hammond organ', 'vintage italian soundtrack']"
Philip K. Dick,['reading']
Claudia Hellmann,[]
Riri Shimada,[]
Zaki Nassif,"['classic arab pop', 'lebanese pop']"
Bailey's Nervous Kats,['surf music']
Agnes Varda,[]
Haparvarim,"['classic israeli pop', 'israeli rock']"
The Ambassadors,"['bisrock', 'vispop']"
Thomas Stewart,['classical bass']
Clare Fischer,['jazz organ']
The St. Charles Borromeo Choir,[]
Hr-sinfonieorchester,['german orchestra']
Kale,[]
Raúl Lavié,['tango cancion']
Claude Joseph Rouget de Lisle,['french romanticism']
Archie Semple,"['classical clarinet', 'scottish jazz']"
Bertalan Hock,[]
Héctor Varela,"['bandoneon', 'orquesta tipica', 'tango', 'vintage tango']"
El Hachemi Guerouabi,"['algerian folk', 'chaabi algerien', 'rai']"
Belkıs Özener,['classic turkish pop']
Billy Mitchell,[]
Patsy Todd,[]
Claudine Clark,['brill building pop']
King Kong,['old school dancehall']
Bossa Rio,['bossa nova']
Reginald Veal,[]
Lorenz Hart,[]
The Dynamos,[]
Sounds Orchestral,[]
Francis Pilkington,['english renaissance']
Steve Curry,[]
The Original Gospel Harmonettes,['gospel singers']
Bob Cranshaw,['jazz double bass']
Leo Arnaud,['space age pop']
Danny Kaleikini,[]
Screaming Lord Sutch,[]
The Lonesome Pine Fiddlers,[]
Leon Rosselson,['traditional british folk']
Nico,[]
Milton Banana Trio,"['bossa nova', 'brazilian jazz', 'samba-jazz']"
Johann Christoph Friedrich Bach,['classical era']
Baba Brooks,"['early reggae', 'rock steady']"
Sayed Darwish,['classic arab pop']
Sexteto Borinquen,"['bolero cubano', 'puerto rican folk']"
The Cleveland Orchestra Chorus,[]
Ed Thigpen,['jazz drums']
Ral Donner,"['doo-wop', 'rhythm and blues']"
Ted Weems,['vintage jazz']
Dion & The Wanderers,[]
Los Hermanos Campos,"['cueca chilena', 'cumbia ranchera', 'folklore chileno']"
The Harmonica Rascals,[]
Pierre Attaingnant,"['early music', 'french renaissance', 'renaissance']"
The Blue Sky Boys,"['appalachian folk', 'country gospel', 'old-time', 'vintage country folk']"
Martti Pokela,"['finnish folk', 'kantele']"
Dean Dawson,['german hip hop']
Don Gardner,[]
The Orchids,"['c86', 'tape club', 'twee pop']"
Ian Carmichael,[]
Robert Jones,[]
Edmundo Arias,"['classic colombian pop', 'cumbia', 'porro']"
Wade Ward,"['appalachian folk', 'banjo', 'clawhammer banjo', 'old-time']"
Marco Rizo,[]
Al Caiola & His Orchestra,[]
Ernst Busch,['liedermacher']
Gareth Davies,[]
Hylo Brown,"['bluegrass', 'traditional bluegrass']"
Günter Kallmann Chor,[]
The Missourians,[]
Vjekoslav Sutej,[]
Ran Blake,"['avant-garde jazz', 'free improvisation', 'free jazz']"
Living Voices,[]
Patrice Fontanarosa,[]
Paul Petersen,['deep motown']
The Gary McFarland Orchestra,[]
Guty Cárdenas,[]
James Sanderson,[]
Vidyabhushana,[]
The Bossa Nova All Stars,[]
Southwest German Chamber Orchestra,[]
Collegium Aureum,['classical performance']
Süddeutsche Philharmonie,[]
Aaron Rosand,['violin']
Troy Shondell,['deep adult standards']
Inez & Charlie Foxx,[]
Guillermo Fernández,[]
Katie Lee,[]
Albert Linder,[]
Sweet Apple Kids,[]
Paulo Ricardo,"['mpb', 'rock nacional brasileiro']"
Orquesta Sinfónica de Madrid,['joropo']
Los Ovnis,['mexican rock-and-roll']
Georg Fischer,[]
Henry Eccles,['english baroque']
Julian Olevsky,[]
Mirla Castellanos,['classic venezuelan pop']
Orlandivo,['brazilian jazz']
Assi Rahbani,[]
Fred Fisher,[]
Roy Haynes Quartet,['jazz quartet']
The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
Carole King,"['adult standards', 'brill building pop', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'soul']"
Janis Joplin,"['blues rock', 'classic rock', 'psychedelic rock', 'rock']"
Dio,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'power metal', 'rock']"
Leo Dan,"['bolero', 'cancion melodica', 'latin pop', 'ranchera']"
Harry Gregson-Williams,"['british soundtrack', 'epicore', 'scorecore', 'soundtrack', 'video game music']"
Darlene Love,['brill building pop']
Martha Reeves & The Vandellas,"['brill building pop', 'classic girl group', 'classic soul', 'motown', 'quiet storm', 'soul']"
Wilson Pickett,"['brill building pop', 'classic soul', 'folk rock', 'funk', 'memphis soul', 'motown', 'rock-and-roll', 'soul', 'southern soul']"
Roberto Carlos,"['jovem guarda', 'mpb']"
Patti LaBelle,"['disco', 'funk', 'motown', 'neo soul', 'new jack swing', 'philly soul', 'post-disco', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
Vishal-Shekhar,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
The Specials,"['dance rock', 'punk', 'ska', 'ska revival']"
The Crystals,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic girl group', 'doo-wop', 'folk rock', 'motown', 'rock-and-roll', 'rockabilly']"
Lesley Gore,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic girl group', 'folk rock', 'rock-and-roll']"
The Impressions,"['brill building pop', 'chicago soul', 'classic soul', 'funk', 'motown', 'quiet storm', 'rhythm and blues', 'soul']"
Jim Reeves,"['adult standards', 'nashville sound']"
The Yardbirds,"['album rock', 'art rock', 'blues rock', 'british blues', 'british invasion', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'hard rock', 'merseybeat', 'psychedelic rock', 'rock', 'roots rock', 'symphonic rock']"
Manfred Mann,"['brill building pop', 'british blues', 'british invasion', 'bubblegum pop', 'classic rock', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly']"
Norma Jean,"['american metalcore', 'christian hardcore', 'christian metal', 'deathcore', 'mathcore', 'melodic metalcore', 'metalcore', 'post-hardcore', 'screamo']"
Ernesto Cortazar,"['new age', 'operatic pop']"
Sheb Wooley,"['comic', 'novelty']"
Tsegue-Maryam Guebrou,[]
Lee Hazlewood,"['baroque pop', 'country rock', 'experimental', 'folk rock', 'oklahoma country', 'psychedelic rock', 'singer-songwriter', 'traditional folk']"
Scott Joplin,"['african-american classical', 'american modern classical', 'post-romantic era', 'ragtime', 'stride', 'tin pan alley']"
Jorge Ben Jor,"['bossa nova', 'manguebeat', 'mpb', 'pagode', 'samba', 'samba-rock', 'tropicalia']"
The Contours,"['brill building pop', 'motown', 'northern soul', 'soul']"
John Oliver,[]
Cheo Feliciano,"['latin jazz', 'salsa', 'salsa international', 'salsa puertorriquena', 'tropical']"
Skeeter Davis,"['brill building pop', 'nashville sound']"
Helmut Muller-Bruhl,[]
Porter Wagoner,"['country gospel', 'nashville sound']"
Joe Pass,"['bebop', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz fusion', 'jazz guitar']"
Marcos Valle,"['bossa nova', 'brazilian boogie', 'mpb']"
Wayne Newton,"['adult standards', 'easy listening', 'lounge']"
Barbara Lewis,"['brill building pop', 'classic soul', 'motown', 'rhythm and blues', 'soul', 'southern soul']"
Robert Franz,['german romanticism']
Paul Revere & The Raiders,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'classic rock', 'folk rock', 'freakbeat', 'protopunk', 'psychedelic rock']"
The Cascades,"['adult standards', 'brill building pop', 'doo-wop']"
The Three Degrees,"['classic girl group', 'disco', 'motown', 'philly soul', 'quiet storm']"
Peter Phillips,['choral']
The Searchers,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly']"
Al Martino,"['adult standards', 'brill building pop', 'easy listening', 'lounge']"
The Surfaris,['surf music']
Peruzzi,"['afropop', 'dancehall', 'nigerian pop']"
Nelson Freire,"['brazilian classical piano', 'classical piano']"
The Williams Brothers,"['contemporary gospel', 'gospel']"
Barbara Lynn,"['classic soul', 'motown', 'rhythm and blues', 'soul', 'southern soul']"
Gerry & The Pacemakers,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll']"
Vikki Carr,['adult standards']
Phil Ochs,"['american folk revival', 'folk', 'folk rock', 'traditional folk']"
Zürcher Kammerorchester,[]
The Dillards,"['appalachian folk', 'banjo', 'bluegrass', 'cosmic american', 'country rock', 'old-time', 'progressive bluegrass', 'traditional folk']"
Gary Peacock,"['avant-garde jazz', 'contemporary jazz', 'contemporary post-bop', 'ecm-style jazz', 'free jazz', 'jazz double bass']"
The Blind Boys Of Alabama,['gospel singers']
The Chambers Brothers,"['classic garage rock', 'psychedelic rock', 'psychedelic soul']"
Jack Jones,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'vocal jazz']"
Pierre-Laurent Aimard,"['classical performance', 'classical piano', 'french classical piano']"
Mark Lindsay,['bubblegum pop']
Frank Bridge,"['british modern classical', 'early modern classical', 'post-romantic era']"
Ferlin Husky,['nashville sound']
Nicola Di Bari,"['classic italian pop', 'pop romantico']"
Iván Fischer,"['hungarian classical performance', 'orchestral performance']"
Roy Clark,"['classic country pop', 'oklahoma country']"
Maria Toledo,[]
Hungarian State Opera Orchestra,['hungarian classical performance']
György Lehel,[]
Prince Buster,"['dub', 'reggae', 'rock steady', 'ska', 'ska revival']"
The Lively Ones,['surf music']
Aldo Romano,"['contemporary jazz', 'italian contemporary jazz', 'italian jazz', 'swedish jazz']"
Branford Marsalis,"['bebop', 'contemporary jazz', 'contemporary post-bop', 'jazz', 'jazz saxophone', 'new orleans jazz']"
Lou Christie,"['brill building pop', 'bubblegum pop', 'doo-wop', 'folk rock', 'merseybeat', 'rock-and-roll']"
Lorne Greene,['cowboy western']
Steve Kuhn,"['contemporary jazz', 'contemporary post-bop', 'ecm-style jazz', 'jazz piano']"
Taizé,"['chant religieux', 'french worship', 'gregorian chant', 'uwielbienie']"
Bill Cosby,"['comedy', 'comic']"
Deborah Allen,['country dawn']
The Chantays,['surf music']
Camerata Salzburg,"['austrian orchestra', 'chamber orchestra', 'classical performance']"
DJ Twin,[]
The Tymes,"['beach music', 'brill building pop', 'classic soul', 'doo-wop', 'motown', 'philly soul', 'rhythm and blues']"
Marino Marini,"['canzone napoletana', 'classic italian pop']"
George Hamilton IV,['traditional country']
Clint Eastwood,['classic soundtrack']
Trini Lopez,"['adult standards', 'brill building pop', 'rock-and-roll']"
Allan Sherman,['comic']
Kingsmen,"['classic garage rock', 'protopunk']"
Garnet Mimms & The Enchanters,"['rhythm and blues', 'southern soul']"
The Marketts,['surf music']
Ronnie Aldrich,"['adult standards', 'ballroom', 'easy listening', 'lounge']"
Ron Grainer,"['hauntology', 'theme']"
Sissel,"['classic norwegian pop', 'norwegian pop', 'operatic pop']"
Kora,"['kiwi rock', 'nz reggae', 'polynesian pop']"
Krzysztof Komeda,['polish jazz']
霜華雪華,[]
Gerry Mulligan Sextet,['cool jazz']
Melba Montgomery,['classic country pop']
David Houston,['nashville sound']
Marian Lapsansky,[]
Tião Carreiro & Pardinho,"['sertanejo', 'sertanejo tradicional', 'sertanejo universitario']"
Chicago Symphony Chorus,['american choir']
John Gary,"['adult standards', 'easy listening', 'lounge']"
Carl Butler,['honky tonk']
Brno Philharmonic Orchestra,[]
Yaara Tal,['israeli classical piano']
Dom De Luise,[]
José van Dam,"['classical bass', 'classical performance', 'opera']"
Limburg Symphony Orchestra,[]
Tanglewood Festival Chorus,['american choir']
Sly Stone,"['funk', 'psychedelic soul']"
David Rose,['space age pop']
Giannis Poulopoulos,"['classic greek pop', 'greek pop', 'laiko', 'neo kyma']"
Alessandro Alessandroni,"['italian library music', 'spytrack', 'vintage italian soundtrack']"
Bob B. Soxx & The Blue Jeans,['brill building pop']
Ambiance,[]
Eddy Mitchell,"['chanson', 'french pop']"
Andrew Hill,"['avant-garde jazz', 'bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'free improvisation', 'free jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz piano', 'soul jazz']"
Ruby And The Romantics,['rhythm and blues']
J.B. Lenoir,"['acoustic blues', 'blues', 'chicago blues', 'traditional blues']"
Hoang Oanh,"['vietnamese bolero', 'vietnamese pop']"
Bobby Solo,"['classic italian folk pop', 'classic italian pop']"
Robert Uhlmarash,[]
Naveen,['deep indian pop']
王秀如,[]
水柳仙,[]
Jacques Loussier,['classical jazz fusion']
Betty Harris,"['rhythm and blues', 'soul', 'southern soul', 'traditional soul']"
The Speer Family,"['family gospel', 'southern gospel']"
張淑美,[]
Sanjeev Abhyankar,"['bhajan', 'hindustani classical', 'hindustani vocal', 'indian classical']"
Davy Graham,['british folk']
Bando,[]
Aníbal Troilo,"['bandoneon', 'tango', 'vintage tango']"
The Challengers,"['instrumental surf', 'surf music']"
Aneela Mirza,[]
Johan Bejerholm,[]
Wanda Sá,['bossa nova']
Usha Uthup,"['classic bollywood', 'filmi']"
"Martin Luther King, Jr.",['oratory']
Sunnyland Slim,"['blues', 'boogie-woogie', 'chicago blues', 'delta blues', 'piano blues', 'traditional blues']"
Mickey Roker,[]
Los Diplomaticos,['classic colombian pop']
Jos Van Immerseel,"['harpsichord', 'historical keyboard', 'historically informed performance']"
Willie Rosario and His Orchestra,"['boogaloo', 'latin jazz', 'salsa', 'salsa international']"
Sabir Khan,"['hindustani instrumental', 'indian classical', 'sarangi']"
Claudine Longet,[]
Ted Taylor,"['classic soul', 'southern soul']"
Cy Langston,[]
The Sentinals,['surf music']
DR,[]
Abhishek Bachchan,[]
Big John Patton,"['hard bop', 'jazz funk', 'jazz organ', 'soul jazz']"
Michel Corboz,['orchestral performance']
Rolf Harris,['novelty']
Baby Washington,"['beach music', 'brill building pop', 'classic soul', 'motown', 'rhythm and blues', 'southern soul']"
Alfred Apaka,['hawaiian']
The Atlantics,['surf music']
Theodor Guschlbauer,[]
The Latinaires,['boogaloo']
Johnny Long,[]
Bud Shank Quintet,[]
Stabsmusikkorps der Bundeswehr,"['blaskapelle', 'military band', 'musikkorps']"
Cookie & The Cupcakes,"['swamp blues', 'swamp pop']"
Naveen Kumar,['indian instrumental']
Gianni Ferrio,"['classic soundtrack', 'vintage italian soundtrack']"
The Howard Roberts Quartet,[]
Janet Leigh,[]
Living Strings,['easy listening']
Robert Anderson,[]
La Rondalla Tapatía,[]
Peter Yarrow,[]
Santé,"['german tech house', 'minimal tech house']"
Johnny Hernandez,[]
Jair Rodrigues,"['bossa nova', 'mpb', 'pagode', 'samba', 'velha guarda']"
Bruno Bartoletti,['opera']
Ned Rorem,"['american modern classical', 'avant-garde', 'contemporary classical']"
Gabrieli String Quartet,['string quartet']
Buddy Emmons,['steel guitar']
Martha Reeves,[]
Linda Gail Lewis,[]
Janet,[]
D.L. Menard,"['cajun', 'swamp pop', 'zydeco']"
The Astronauts,['surf music']
The Blackwood Brothers,"['country gospel', 'family gospel', 'southern gospel']"
Claire Désert,['french classical piano']
Robert Louis Stevenson,"['german literature', 'hoerspiel', 'reading']"
The Esquires,['chicago soul']
Bovea Y Sus Vallenatos,"['classic colombian pop', 'musica llanera']"
The Bachelors,"['brill building pop', 'british invasion', 'classic uk pop', 'merseybeat', 'rock-and-roll']"
Ned Miller,['nashville sound']
Bruno Lauzi,"[""canzone d'autore"", 'canzone genovese', 'classic italian pop']"
Leonard Hokanson,['american classical piano']
The Cookies,[]
Jesse Pearson,[]
Aldo Ceccato,[]
Robert Fitch,[]
Wilhelm Grimm,[]
Kazimierz Kord,[]
Sandra Rivers,[]
Altemar Dutra,"['pop nacional antigas', 'samba', 'velha guarda']"
Les & Larry Elgart,"['easy listening', 'space age pop']"
Bobby Butler,[]
Jose Maria De Leon Hernandez,[]
Phuong Dung,"['vietnamese bolero', 'vietnamese pop']"
Peggy March,['classic schlager']
Michel Colombier,['french soundtrack']
Aris San,"['classic israeli pop', 'mizrahi']"
Roberto Menescal E Seu Conjunto,['bossa nova']
Prasanna,"['carnatic', 'carnatic instrumental', 'indian classical', 'indian fusion', 'indian rock']"
Phil Spector,['brill building pop']
Rob De Nijs,"['dutch pop', 'dutch rock', 'levenslied', 'nederpop']"
The Prophets,[]
The London Festival Chorus,[]
Gayathri,[]
The Gerry Mulligan Quintet,[]
The Strings of the London Festival Orchestra,[]
Kenneth Gilbert,"['classical organ', 'harpsichord']"
Yvonne Minton,['classical mezzo-soprano']
Mark Williams,['guided meditation']
Mister G,[]
Nachiketa Chakraborty,['bangla']
Arsen Dedić,"['croatian pop', 'yugoslav rock']"
Roland Kirk Quartet,"['avant-garde jazz', 'free jazz', 'jazz quartet']"
Maya Kristalinskaya,"['classic russian pop', 'russian romance']"
Edmond De Stoutz,[]
The Dreamlovers,[]
Frederick the Great,['galante era']
The Harmonaires,[]
Bill Perkins,['jazz saxophone']
Biagio Marini,"['baroque', 'italian baroque']"
Los Guacharacos,"['chicha', 'cumbia', 'porro']"
Nat Adderley Sextet,[]
Ria Bartok,['ye ye']
Choeurs Rene Duclos,[]
Mariya Lukach,['detskie pesni']
The Essex,"['brill building pop', 'classic girl group', 'rhythm and blues']"
Rev. Cleophus Robinson,['praise']
The Bluebells,"['melancholia', 'new wave pop', 'scottish new wave', 'sophisti-pop']"
Eitelfriedrich Thom,[]
The Avengers,[]
Giuseppe Ungaretti,[]
Cesare Pugni,['italian romanticism']
Horst Hiestermann,[]
Homesick James,"['blues', 'chicago blues', 'traditional blues']"
Jimmy Woods,[]
Jakub Jan Ryba,['czech classical']
The Stamps Quartet,[]
Brian Poole & The Tremeloes,"['merseybeat', 'rock-and-roll']"
Johnny Coles,['jazz trumpet']
The Super Stocks,['surf music']
Bertolt Brecht,[]
Living Strings,[]
Kuldip Manak,"['bhangra', 'classic punjabi pop']"
Mazowsze,"['classic polish pop', 'polish folk']"
The Freedom Singers,[]
Willie Clancy,"['irish folk', 'uilleann pipes']"
Waldemar Matuška,"['classic czech pop', 'czech folk', 'czech rock']"
Jess Thomas,['classical tenor']
Nesrin Sipahi,['classic turkish pop']
黃國隆,[]
Miguel,['musica popular amazonense']
Matteo Salvatore,['italian folk']
"Vocal Quartet ""Ulybka""",[]
Babs Gonzales,[]
Uma,['thai hip hop']
Srabani Sen,"['bangla', 'rabindra sangeet']"
George Tucker,[]
The New Colony Six,"['classic garage rock', 'freakbeat']"
Jimmy Woods Sextet,[]
Александр Зацепин,[]
Andras Korodi,[]
John Dobson,[]
Marty Gold & His Orchestra,[]
Peter Ustinov,[]
The Big Three,['merseybeat']
席蓉蓉,['taiwan campus folk']
Philippe Huttenlocher,[]
Max Morath,['ragtime']
Bert Kaempfert & His Orchestra,[]
Paul Lynde,[]
Elisabeth Söderström,['classical soprano']
Aliki Vougiouklaki,['laiko']
Pushpavanam Kuppusamy,"['deep indian pop', 'tamil pop']"
Peter La Farge,"['american folk revival', 'native american']"
Freddie Roach,"['hard bop', 'jazz organ', 'soul jazz']"
Andreas Tarkmann,[]
David Lee,['library music']
Irena Santor,['classic polish pop']
Edward Bairstow,['anglican liturgy']
Bryan Russell,[]
Orchestre Jean-François Paillard,[]
Charles Reiner,[]
Carlos Salzedo,"['harp', 'impressionism']"
Mohamed Roshdy,['classic arab pop']
Dénes Kovács,['hungarian classical performance']
Henry Onorati,[]
Royal Danish Orchestra,"['nordic orchestra', 'orchestra']"
Tereza Kesovija,"['croatian pop', 'klapa']"
Alfredo Mariotti,['italian bass']
Bharadwaj,"['deep indian pop', 'filmi']"
The Osmond Brothers,[]
Dénes Gulyás,['hungarian classical performance']
J.D. Short,"['country blues', 'delta blues', 'memphis blues']"
Les Chats Sauvages,[]
Cvetka Ahlin,[]
Hank Penny,"['cowboy western', 'western swing']"
Jean Hubeau,['french classical piano']
George Shearing Trio,[]
Los Rurales De Gilberto Parra,[]
Jean Allister,[]
The Crossfires,['surf music']
Kenny Graham,['library music']
Count Basie and The Kansas City 7,[]
Dave Gardner,[]
Marcello Gigante,[]
Vin Bruce,"['cajun', 'swamp pop', 'zydeco']"
Telemann-Kammerorchester,[]
Annerose Schmidt,['german classical piano']
Renato e Seus Blue Caps,['jovem guarda']
Vincent Lucas,['classical flute']
Dean Elliott And His Big Band,"['exotica', 'lounge']"
J.J. Barnes,"['motown', 'northern soul']"
Minnie Pearl,['truck-driving country']
The Strangers,['afro psych']
Faye Tucker,[]
Arnold Soboloff,[]
Gene Cherico,[]
The Marvels,[]
Zoltan Kelemen,[]
Tammy Grimes,[]
Conny Vandenbos,"['classic belgian pop', 'levenslied', 'nederpop', 'vintage dutch pop']"
The Piltdown Men,[]
Debi Makhsoospuri,['punjabi pop']
Richard Heyman Orchestra,[]
Chetan,[]
Renato Cioni,['italian tenor']
Jan Václav Vorísek,"['czech classical', 'early romantic era']"
Fred Åkerström,"['classic swedish pop', 'folkmusik', 'swedish jazz', 'visor']"
Ray Koerner & Glover,[]
Edita Piekha,['classic russian pop']
Art Van Damme,['jazz accordion']
George Barnes,"['chicago blues', 'jazz guitar']"
Sigfrid Karg-Elert,['late romantic era']
Don Wilkerson,['soul jazz']
Tamara Miansarova,[]
František Vajnar,[]
Linda Scott,"['brill building pop', 'deep adult standards']"
Luis Perez Meza,[]
Rita Reys,['dutch jazz']
The Caravelles,['brill building pop']
Bill Kaiwa,[]
Mario Hernandez,[]
Jack Elliott,[]
Ursula Buckel,[]
Francoise Garcin,[]
Ken McIntyre,"['avant-garde jazz', 'free jazz']"
Marc Trenel,['classical bassoon']
Dezsö Ranki,['hungarian classical piano']
"Popular Orchestra ""Mikis Theodorakis""",[]
Kamalahasan,[]
Ralph Dollimore,['library music']
Dino,[]
Siegfried Lorenz,['classical baritone']
Haydn Wood,"['british modern classical', 'early modern classical', 'light music']"
Wanderlea,['jovem guarda']
Marie Luise Neunecker,['classical horn']
Lindomar Castilho,"['brega', 'pop nacional antigas', 'sertanejo', 'sertanejo tradicional']"
Zuzana Růžičková,['harpsichord']
Richie Allen And The Pacific Surfers,[]
Jean-Claude Hartemann,[]
Kenneth Leighton,"['anglican liturgy', 'british modern classical']"
Robin Ward,['brill building pop']
Chico Novarro,['pop romantico']
The Pilgrim Travelers,"['gospel singers', 'vocal harmony group']"
Partha Sarathy,[]
The Rebels,[]
Ruhi Su,"['turkish folk', 'turkish jazz']"
Oldřich Vlček,[]
Luis Arcaraz,[]
London Wind Soloists,['wind ensemble']
Manuel Esperón,[]
Paul Eakins,"['band organ', 'polka']"
The Eastman-Rochester Orchestra,[]
Chor der Bayerischen Staatsoper,[]
Deutsche Bachsolisten,[]
Cesar Gonzalez,[]
Edmund Gruber,[]
Moisés Simons,['son cubano']
Salomé,[]
Umayalpuram K. Sivaraman,"['carnatic', 'carnatic instrumental', 'indian classical']"
Chitti Babu,"['carnatic', 'carnatic instrumental', 'indian classical', 'veena']"
Maureen Stapleton,[]
Claire Watson,['classical soprano']
Manuel Alejandro,[]
Alexander Muir,[]
Gary Davis,[]
Josef Pasternack,[]
Sonny Lester,[]
The Rolling Stones,"['album rock', 'british invasion', 'classic rock', 'rock']"
System Of A Down,"['alternative metal', 'nu metal', 'rap metal']"
Bob Marley & The Wailers,['reggae']
Ozzy Osbourne,"['album rock', 'birmingham metal', 'hard rock', 'metal', 'rock']"
Jimi Hendrix,"['acid rock', 'blues rock', 'classic rock', 'psychedelic rock', 'rock']"
"Hank Williams, Jr.","['country', 'country road', 'country rock', 'outlaw country']"
Eric Clapton,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'soft rock']"
The Temptations,"['brill building pop', 'classic soul', 'funk', 'memphis soul', 'motown', 'soul']"
Otis Redding,"['classic soul', 'funk', 'memphis soul', 'soul', 'soul blues', 'southern soul']"
Chevelle,"['alternative metal', 'alternative rock', 'christian rock', 'modern rock', 'nu metal', 'post-grunge', 'rap rock', 'rock']"
The Kinks,"['album rock', 'art rock', 'british invasion', 'classic rock', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic rock', 'rock', 'roots rock']"
The Animals,"['album rock', 'blues rock', 'british invasion', 'classic rock', 'folk rock', 'hard rock', 'protopunk', 'psychedelic rock', 'rock']"
Diana Ross,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']"
